,id,Type,Region,tags.generator:method,tags.generator:source,tags.power,power_output_MW,tags.generator:type,tags.location,tags.frequency,other_tags,geometry,Country
614,9149467439,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22639689999995 16.811699599999955),MM
615,9149467440,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22634609999996 16.811673899999956),MM
616,9149467441,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22629529999996 16.811648299999955),MM
617,9149467442,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22624449999996 16.811622599999957),MM
618,9149467443,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22619369999997 16.81159689999996),MM
619,9149467444,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22614289999997 16.81157119999996),MM
620,9149467445,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22609219999997 16.81154559999996),MM
621,9149467446,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22604139999997 16.81151989999996),MM
622,9149467447,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22599059999997 16.811494199999963),MM
623,9149467448,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22593979999998 16.811468499999965),MM
624,9149467449,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.225889 16.811442799999966),MM
625,9149467450,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22583819999998 16.811417199999966),MM
626,9149467451,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22578749999998 16.811391499999967),MM
627,9149467452,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22573669999998 16.81136579999997),MM
628,9149467453,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22568589999999 16.81134009999997),MM
629,9149467454,node,MM,combustion,gas,generator,3.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.2256351 16.81131449999997),MM
807,9149467632,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22498330000002 16.817530500000018),MM
808,9149467633,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22492780000002 16.81752090000002),MM
809,9149467634,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22486360000002 16.81750980000002),MM
810,9149467635,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22478850000002 16.817496800000022),MM
811,9149467636,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.22466480000001 16.817475500000022),MM
812,9149467637,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.224595 16.817463400000022),MM
813,9149467638,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.2245355 16.817453100000023),MM
814,9149467639,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.224463 16.817440600000022),MM
825,9150489692,node,MM,combustion,gas,generator,18.0,gas_turbine,NULL,NULL,NULL,POINT (94.83929629999989 20.1776854),MM
826,9150489693,node,MM,combustion,gas,generator,18.0,gas_turbine,NULL,NULL,NULL,POINT (94.83927669999989 20.17784059999999),MM
827,9150489694,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (94.80402829999989 21.187057),MM
828,9150489695,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (94.80406489999989 21.1870234),MM
829,9150489696,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (94.80395519999989 21.1871241),MM
830,9150489697,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (94.80399169999988 21.1870905),MM
831,9150489698,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (94.80391859999989 21.1871577),MM
832,9150489699,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (94.80388199999989 21.1871913),MM
833,9150489700,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (94.80384539999989 21.1872248),MM
834,9150489701,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (94.80380879999989 21.1872584),MM
835,9150489702,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (94.80377219999988 21.187292),MM
836,9150489703,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (94.80373559999988 21.18732549999999),MM
837,9150489704,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (94.80369899999988 21.187359099999988),MM
838,9150489715,node,MM,combustion,gas,generator,18.0,gas_turbine,NULL,NULL,NULL,POINT (94.80300209999992 21.188192399999988),MM
839,9150489716,node,MM,combustion,gas,generator,18.0,gas_turbine,NULL,NULL,NULL,POINT (94.80295389999992 21.188237399999988),MM
840,9150489717,node,MM,combustion,gas,generator,18.0,gas_turbine,NULL,NULL,NULL,POINT (94.80290739999992 21.18828069999999),MM
841,9150490040,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.15225939999995 21.667599800000037),MM
842,9150490041,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.15227529999994 21.667543900000037),MM
843,9150490042,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.15229129999994 21.667488),MM
844,9150490043,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.15224339999995 21.667655700000036),MM
845,9150490044,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.15218839999994 21.667810300000035),MM
846,9150490045,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.15217239999994 21.667866200000034),MM
847,9150490046,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.15215649999995 21.667922100000034),MM
848,9150490047,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.15214049999994 21.667977900000032),MM
978,9153574132,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49290529999998 19.3970659000001),MM
979,9153574133,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.492936 19.3971051000001),MM
980,9153574134,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49254249999997 19.397564000000102),MM
981,9153574135,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49279179999996 19.397879400000104),MM
982,9153574136,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49291639999997 19.398037100000103),MM
983,9153574137,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49257369999997 19.397603400000104),MM
